vessel_no,FreqUse,TripType,SourceWater,RiskyWater,MaxVol,EmptyDepart,EmptyArrival,FreqDischarge,vessel_type,name,home,location,sum_score,hazard_score,Length,Speed,storage,steam_fine,steam_rough,active_fine,active_rough,mean_rate,max_rate
1,3,2,4,4,4,4,1,2,Commercial,Pelorus,Port Nelson,Nelson/Picton,22,3072,16.5,7.5,In water,0.5,0.5,0.5,0.5,0.5,0.5
6,1,1,3,3,3,1,3,3,Launch,Maria,Hobson Bay,Auckland,15,243,7,5,In water,0.08333333333333333,0,0.08333333333333333,0.08333333333333333,0.0625,0.08333333333333333
7,2,1,4,1,3,1,4,2,Trailer boat,Bottom Line,Z Pier,Auckland,14,192,6.5,10,On land,0.16666666666666666,1,0.16666666666666666,0.5,0.45833333333333337,1
8,2,1,4,1,4,1,4,3,Trailer boat,Ready Steady Crew,Z Pier,Auckland,15,384,6.8,8,On land,0.16666666666666666,0,0.16666666666666666,0.5,0.20833333333333331,0.5
9,1,1,3,1,3,1,4,2,Trailer boat,Jeronimo,Z Pier,Auckland,14,72,7,6,On land,0.25,0.5,0.16666666666666666,0.5,0.35416666666666663,0.5
10,2,1,2,1,2,1,4,4,Trailer boat,Time Out,Z Pier,Auckland,12,128,6.3,5,On land,0,0,0,0,0,0
11,2,3,2,2,3,2,2,3,Yacht,Charlotte,Westhaven marina,Auckland,14,864,12.2,6,In water,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.0625,0.08333333333333333
12,2,1,3,2,3,1,2,3,Trailer boat,Banshee,Z Pier,Auckland,13,216,6,18,On land,0,0.25,0.16666666666666666,0.16666666666666666,0.14583333333333331,0.25
14,1,2,1,1,3,1,2,3,Launch,Jasmine,Bayswater marina,Auckland,11,36,12.8,22,In water,0.125,0.125,0.125,0.125,0.125,0.125
18,1,2,2,2,2,1,4,3,Yacht,Blue Raven,Bayswater marina,Auckland,14,192,8.2,5,In water,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.125,0.16666666666666666
19,2,1,1,1,3,2,3,3,Launch,Catherine J,Bayswater marina,Auckland,12,108,8.5,6,In water,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333,0.0625,0.08333333333333333
