var,rel.inf
TripType,41.37074591661777
MaxVol,12.743195865373432
EmptyDepart,12.003435227884927
Speed,10.954880739887114
FreqUse,10.898966146347153
EmptyArrival,4.735825869785907
Length,3.029505902283567
SourceWater,2.5496370134912234
RiskyWater,1.6601385751842908
FreqDischarge,0.053668743144611786
