id,type,from,to,days,dist,key,ID,homeport,No_trips
DOM71,DOM,Kawau Is,Great Barrier,1,58.2868445706233,71,Y71,Kawau Island,1
DOM710,DOM,AKLBWM,Great Barrier,10,85.4524619305962,710,Y710,AKL_BWM,7
DOM710,DOM,AKLBWM,Gulf Harbour,1,25.0587559547556,710,Y710,AKL_BWM,7
DOM711,DOM,Waikawa Bay,Wellington,2,62.5874717894883,711,Y711,Waikawa Bay Marina,3
DOM711,DOM,Waikawa Bay,AKLWESTHAV,2,495.321479066878,711,Y711,Waikawa Bay Marina,3
DOM711,DOM,Waikawa Bay,Poor Knight Is,1,646.673277726086,711,Y711,Waikawa Bay Marina,3
DOM711,DOM,Waikawa Bay,Tutukaka,1,628.112177500962,711,Y711,Waikawa Bay Marina,3
DOM711,DOM,Waikawa Bay,Gulf Harbour,2,522.429309117511,711,Y711,Waikawa Bay Marina,3
DOM711,DOM,Waikawa Bay,Kerikeri,3,672.88589487743,711,Y711,Waikawa Bay Marina,3
DOM711,DOM,Waikawa Bay,Tauranga,4,440.003993078472,711,Y711,Waikawa Bay Marina,3
DOM712,DOM,Kerikeri,Whangamumu,1,28.0387392726563,712,Y712,Kerikeri Marina,1
DOM713,DOM,AKLOKAHU,Bay of Islands,2,187.055754054774,713,Y713,AKL_OKAHU,3
DOM713,DOM,AKLOKAHU,Kerikeri,50,196.889278783788,713,Y713,AKL_OKAHU,3
DOM715,DOM,Opua,Bay of Islands,351,4.84592870356137,715,Y715,Russell,1
DOM715,DOM,Opua,Kerikeri,14,15.7289541928254,715,Y715,Russell,1
DOM716,DOM,AKLPINE,Great Barrier,5,77.8466200293886,716,Y716,AKL_PINE,30
DOM717,DOM,AKLPINE,Great Barrier,14,77.8466200293886,717,Y717,AKL_PINE,30
DOM718,DOM,AKLWESTHAV,Gulf Harbour,44,27.2313872213665,718,Y718,Milford_M,20
DOM719,DOM,AKLWESTHAV,Tutukaka,2,136.339193557832,719,Y719,AKL_WESTHAV,10
DOM719,DOM,AKLWESTHAV,Great Barrier,14,87.9603970545836,719,Y719,AKL_WESTHAV,10
DOM72,DOM,Gulf Harbour,Great Barrier,21,67.8647552121129,72,Y72,Gulf HM,17
DOM721,DOM,Wellington,Nelson,1,126.755320992848,721,Y721,Wellington,1
DOM721,DOM,Wellington,Picton,2,65.1801350105997,721,Y721,Wellington,1
DOM725,DOM,Gulf Harbour,Great Barrier,21,67.8647552121129,725,Y725,Gulf HM,20
DOM726,DOM,AKLPINE,Great Barrier,14,77.8466200293886,726,Y726,AKL_PINE,20
DOM726,DOM,AKLPINE,Coromandel,14,46.3822608871107,726,Y726,AKL_PINE,20
DOM728,DOM,AKLWESTHAV,Tutukaka,5,136.339193557832,728,Y728,AKL_WESTHAV,8
DOM728,DOM,AKLWESTHAV,Whangarei,3,125.446098783501,728,Y728,AKL_WESTHAV,8
DOM728,DOM,AKLWESTHAV,Opua,7,178.950919807639,728,Y728,AKL_WESTHAV,8
DOM728,DOM,AKLWESTHAV,AKLPINE,4,22.3073799447627,728,Y728,AKL_WESTHAV,8
DOM729,DOM,AKLPINE,Bay of Islands,8,196.990299316997,729,Y729,AKL_PINE,20
DOM729,DOM,AKLPINE,Urquharts Bay,2,123.063353602931,729,Y729,AKL_PINE,20
DOM729,DOM,AKLPINE,Tutukaka,3,146.433099058922,729,Y729,AKL_PINE,20
DOM729,DOM,AKLPINE,Kawau Is,6,53.2781381056058,729,Y729,AKL_PINE,20
DOM729,DOM,AKLPINE,Coromandel,5,46.3822608871107,729,Y729,AKL_PINE,20
DOM73,DOM,AKLWESTHAV,Poor Knight Is,1,152.283664586849,73,Y73,AKL_WESTHAV,25
DOM73,DOM,AKLWESTHAV,Great Barrier,4,87.9603970545836,73,Y73,AKL_WESTHAV,25
DOM73,DOM,AKLWESTHAV,Whangarei,2,125.446098783501,73,Y73,AKL_WESTHAV,25
DOM73,DOM,AKLWESTHAV,AKLWESTPARK,1,9.29800516239908,73,Y73,AKL_WESTHAV,25
DOM732,DOM,AKLTamaki,Tutukaka,1,144.067340157303,732,Y732,AKL_Tamaki,20
DOM732,DOM,AKLTamaki,Great Barrier,14,84.0485053406662,732,Y732,AKL_Tamaki,20
DOM732,DOM,AKLTamaki,Opua,7,188.362816128874,732,Y732,AKL_Tamaki,20
DOM733,DOM,Gulf Harbour,AKLVIA,7,27.5726649056634,733,Y733,Gulf HM,30
DOM735,DOM,Gulf Harbour,Kawau Is,4,19.6753970735027,735,Y735,Gulf HM,6
DOM735,DOM,Gulf Harbour,Great Barrier,14,67.8647552121129,735,Y735,Gulf HM,6
DOM735,DOM,Gulf Harbour,Waiheke Island,10,28.8424383504585,735,Y735,Gulf HM,6
DOM736,DOM,Whangaroa,Kerikeri,2,29.293279092652,736,Y736,Kerikeri Marina,3
DOM737,DOM,Kerikeri,Opua,330,15.7289541928254,737,Y737,Kerikeri Marina,4
DOM739,DOM,AKLHOBS,AKLWESTHAV,1,5.17888984242762,739,Y739,AKL_HOBS,20
DOM739,DOM,AKLHOBS,Gulf Harbour,1,28.7991362717704,739,Y739,AKL_HOBS,20
DOM74,DOM,AKLHMB,Great Barrier,21,81.6589826657178,74,Y74,AKL_HMB,0
DOM740,DOM,Wellington,Picton,90,65.1801350105997,740,Y740,Wellington,12
DOM741,DOM,Picton,Havelock,1,19.4171161607485,741,Y741,Picton,12
DOM742,DOM,Picton,Kapiti,2,91.2907235155906,742,Y742,Picton,0
DOM745,DOM,Lyttelton,Picton,90,278.9369663562,745,Y745,Lyttelton,1
DOM746,DOM,AKLPINE,Bay of Islands,3,196.990299316997,746,Y746,AKL_PINE,12
DOM746,DOM,AKLPINE,Great Barrier,4,77.8466200293886,746,Y746,AKL_PINE,12
DOM748,DOM,AKLWESTHAV,AKLWESTPARK,90,9.29800516239908,748,Y748,AKL_WESTHAV,10
DOM75,DOM,AKLPINE,Three Kings Is,1,399.619143685585,75,Y75,AKL_PINE,60
