id,type,from,to,days,dist,key
DOM253,DOM,Waikawa Bay,Tutukaka,2,628.112177500962,253
DOM253,DOM,Waikawa Bay,Opua,2,661.24072433948,253
DOM253,DOM,Waikawa Bay,Tauranga,1,440.003993078472,253
DOM253,DOM,Waikawa Bay,AKLWESTPARK,7,497.355675975453,253
DOM253,DOM,Waikawa Bay,Picton,309,3.31620641697709,253
DOM255,DOM,Tauranga,AKLWESTHAV,6,156.730126331857,255
DOM255,DOM,Tauranga,Mercury Islands,14,124.08349205273,255
DOM256,DOM,Tauranga,Mayor Is,3,42.33760030989,256
DOM256,DOM,Tauranga,Mercury Islands,10,124.08349205273,256
DOM256,DOM,Tauranga,Slipper Is,4,70.8163258013292,256
DOM256,DOM,Tauranga,Great Barrier,1,162.671591404277,256
DOM256,DOM,Tauranga,Motuihe Is,4,145.063821816468,256
DOM256,DOM,Tauranga,Gulf Harbour,7,169.571019487411,256
DOM256,DOM,Tauranga,Whangamata,2,59.508500443214,256
DOM256,DOM,Tauranga,Coromandel,4,118.232400910241,256
DOM257,DOM,Nelson,Picton,14,61.5845841099865,257
DOM258,DOM,Nelson,Opua,7,664.736206400704,258
DOM258,DOM,Nelson,New Plymouth,5,253.285925783491,258
DOM258,DOM,Nelson,Picton,5,61.5845841099865,258
DOM259,DOM,AKLWESTHAV,AKLWESTPARK,14,9.29800516239908,259
DOM26,DOM,AKLWESTHAV,Great Barrier,4,87.9603970545836,26
DOM26,DOM,AKLWESTHAV,Gulf Harbour,1,27.2313872213665,26
DOM260,DOM,Gulf Harbour,AKLWESTHAV,305,27.2313872213665,260
DOM260,DOM,Gulf Harbour,Great Barrier,60,67.8647552121129,260
DOM261,DOM,Gulf Harbour,Bay of Islands,42,161.093755387973,261
DOM261,DOM,Gulf Harbour,Tutukaka,3,111.219518296026,261
DOM261,DOM,Gulf Harbour,Kawau Is,72,19.6753970735027,261
DOM261,DOM,Gulf Harbour,Great Barrier,7,67.8647552121129,261
DOM261,DOM,Gulf Harbour,Waiheke Island,50,28.8424383504585,261
DOM261,DOM,Gulf Harbour,Opua,2,156.298564452781,261
DOM263,DOM,AKLOKAHU,Great Barrier,7,84.349747183972,263
DOM264,DOM,AKLHMB,Tutukaka,2,143.437582941152,264
DOM265,DOM,AKLWESTHAV,Tutukaka,2,136.339193557832,265
DOM265,DOM,AKLWESTHAV,Great Barrier,10,87.9603970545836,265
DOM265,DOM,AKLWESTHAV,Opua,4,178.950919807639,265
DOM269,DOM,AKLWESTHAV,Tutukaka,2,136.339193557832,269
DOM269,DOM,AKLWESTHAV,Great Barrier,14,87.9603970545836,269
DOM269,DOM,AKLWESTHAV,Kerikeri,8,193.445609151513,269
DOM27,DOM,AKLWESTHAV,Tutukaka,2,136.339193557832,27
DOM27,DOM,AKLWESTHAV,Gulf Harbour,7,27.2313872213665,27
DOM270,DOM,Waikawa Bay,Havelock,30,22.0680906514361,270
DOM272,DOM,Nelson,Picton,8,61.5845841099865,272
DOM273,DOM,Nelson,Picton,7,61.5845841099865,273
DOM274,DOM,Nelson,Durville Is,14,67.9737964218566,274
DOM274,DOM,Nelson,Wellington,14,126.755320992848,274
DOM275,DOM,Wellington,Kapiti,100,49.637987469276,275
DOM275,DOM,Wellington,Gulf Harbour,40,520.687685517912,275
DOM275,DOM,Wellington,Opua,20,666.3423100029,275
DOM275,DOM,Wellington,Picton,20,65.1801350105997,275
DOM277,DOM,AKLPINE,Bay of Islands,8,196.990299316997,277
