vessel_no,FreqUse,TripType,SourceWater,RiskyWater,MaxVol,EmptyDepart,EmptyArrival,FreqDischarge,vessel_type,name,home,location,sum_score,hazard_score,Length,Speed,storage,steam_fine,steam_rough,active_fine,active_rough,mean_rate,max_rate
38,2,1,4,1,3,1,2,3,Trailer boat,Dandelion,Z Pier,Auckland,12,144,6.2,22,On land,0.125,0.25,0.125,0.25,0.1875,0.25
39,3,1,2,1,3,1,1,3,Trailer boat,Rebel,Z Pier,Auckland,11,54,7.1,20,On land,0,0.125,0,0.125,0.0625,0.125
40,3,3,2,1,4,4,1,3,Yacht,Double Bruyn,Westhaven marina,Auckland,17,864,11.3,6,In water,0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.08333333333333333
41,3,1,4,1,3,1,2,4,Yacht,Sanna,Westhaven marina,Auckland,13,288,8,4,In water,0,0,0,0,0,0
42,3,1,4,1,3,1,2,3,Trailer boat,Buccaneer,Z Pier,Auckland,13,216,6.1,10,On land,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.25,0.3333333333333333
43,3,1,3,1,2,1,2,3,Trailer boat,Doggy Style,Z Pier,Auckland,13,108,6,12,On land,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.29166666666666663,0.3333333333333333
44,3,1,4,1,2,1,1,0,Trailer boat,Worcester Sauce,Z Pier,Auckland,11,0,5,6,On land,0,0,0,0,0,0
45,2,2,4,1,1,1,1,2,Trailer boat,Jack,Z Pier,Auckland,10,32,5.5,26,On land,0.3333333333333333,0.3333333333333333,0.5,0.5,0.41666666666666663,0.5
46,1,1,2,1,2,1,1,0,Trailer boat,Ariella,Z Pier,Auckland,9,0,5.3,20,On land,0,0,0,0,0,0
47,4,1,2,1,1,1,1,0,Trailer boat,Dragon boat support vessel,Z Pier,Auckland,9,0,5,5,On land,0,0,0,0,0,0
48,3,1,4,1,3,1,2,2,Trailer boat,Sea Lady,Z Pier,Auckland,13,144,6,12,On land,0.08333333333333333,0.16666666666666666,0.5,1,0.4375,1
49,2,1,3,1,3,1,1,0,Trailer boat,Beatrice,Z Pier,Auckland,11,0,6.4,10,On land,0,0,0,0,0,0
50,3,1,3,1,3,1,1,0,Trailer boat,Veging out,Z Pier,Auckland,12,0,5.1,20,On land,0,0,0,0,0,0
51,3,1,4,1,4,1,1,0,Trailer boat,Tullulah,Z Pier,Auckland,13,0,6.1,19,On land,0,0,0,0,0,0
52,2,3,1,1,2,3,2,3,Yacht,Dream Weaver,Westhaven marina,Auckland,13,216,11.2,6,In water,0.041666666666666664,0.125,0.041666666666666664,0.125,0.08333333333333333,0.125
